# timestamp_us,x_m,y_m,yaw_rad,position_sigma_m,yaw_sigma_rad
1327678674553721,38.8130,141.9988,1.76605,0.0415,0.0192
1327678675054713,38.7516,142.2327,1.87722,0.0423,0.0199
1327678675556719,38.6689,142.4603,1.94853,0.0440,0.0203
1327678676057712,38.5759,142.6846,1.95158,0.0424,0.0196
1327678676559720,38.4825,142.9111,1.95518,0.0422,0.0197
1327678677060711,38.3857,143.1325,2.00607,0.0450,0.0213
1327678677561703,38.2810,143.3515,2.01015,0.0474,0.0208
1327678678063711,38.1783,143.5706,2.01248,0.0491,0.0211
1327678678564701,38.0675,143.7890,2.01389,0.0508,0.0216
1327678679065693,37.9551,144.0058,2.01290,0.0521,0.0207
1327678679567701,37.8431,144.2226,2.01338,0.0514,0.0199
1327678680068695,37.7314,144.4397,2.01506,0.0495,0.0194
1327678680570700,37.6177,144.6581,2.01785,0.0486,0.0191
1327678681071692,37.5023,144.8742,1.94476,0.0477,0.0190
1327678681572685,37.3952,145.0989,1.91825,0.0461,0.0188
1327678682074694,37.3030,145.3252,1.83127,0.0436,0.0191
1327678682575683,37.2270,145.5584,1.76483,0.0451,0.0190
1327678683076674,37.1685,145.7960,1.69147,0.0458,0.0183
1327678683578684,37.1265,146.0361,1.61841,0.0471,0.0182
1327678684079675,37.1096,146.2808,1.53812,0.0456,0.0180
1327678684631679,37.1140,146.5470,1.35897,0.0474,0.0175
1327678685232668,37.1613,146.8331,1.31120,0.0464,0.0188
1327678685784671,37.2313,147.0925,1.13188,0.0449,0.0182
1327678686285663,37.3203,147.3199,1.11832,0.0442,0.0180
1327678686786656,37.4196,147.5370,0.99149,0.0451,0.0182
1327678687288666,37.5353,147.7485,0.97184,0.0440,0.0180
1327678687789658,37.6585,147.9585,0.92041,0.0411,0.0187
1327678688266663,37.7825,148.1544,0.91777,0.0392,0.0191
1327678688767657,37.9203,148.3529,0.84045,0.0357,0.0198
1327678689268647,38.0677,148.5512,0.84813,0.0348,0.0197
1327678689770656,38.2123,148.7477,0.84199,0.0360,0.0193
1327678690271648,38.3604,148.9370,0.79345,0.0356,0.0197
1327678690772638,38.5126,149.1230,0.79753,0.0326,0.0198
1327678691274647,38.6615,149.3168,0.79647,0.0322,0.0206
1327678691775637,38.8111,149.5090,0.80002,0.0348,0.0210
1327678692276631,38.9575,149.7003,0.80126,0.0365,0.0224
1327678692778638,39.1098,149.8955,0.75788,0.0397,0.0230
1327678693254628,39.2555,150.0770,0.76014,0.0389,0.0238
1327678693755620,39.4070,150.2675,0.76726,0.0388,0.0254
1327678694257626,39.5642,150.4642,0.76547,0.0396,0.0236
1327678694758620,39.7192,150.6547,0.76534,0.0399,0.0234
1327678695260626,39.8719,150.8437,0.76761,0.0394,0.0235
1327678695761623,40.0265,151.0372,0.76781,0.0398,0.0255
1327678696262611,40.1771,151.2233,0.76900,0.0394,0.0240
1327678696764621,40.3426,151.4036,0.76651,0.0376,0.0233
1327678697265609,40.5120,151.5774,0.77282,0.0383,0.0222
1327678697766606,40.6836,151.7481,0.77426,0.0378,0.0206
1327678698268615,40.8552,151.9206,0.77454,0.0363,0.0192
1327678698769609,41.0273,152.0925,0.77645,0.0370,0.0184
1327678699270593,41.1998,152.2635,0.77783,0.0356,0.0176
1327678699772602,41.3712,152.4372,0.77751,0.0332,0.0169
1327678700273598,41.5462,152.6063,0.77568,0.0336,0.0156
1327678700775601,41.7205,152.7775,0.77787,0.0335,0.0153
1327678701276595,41.8947,152.9508,0.77647,0.0330,0.0155
1327678701777587,42.0693,153.1210,0.77388,0.0343,0.0153
1327678702279594,42.2447,153.2921,0.77511,0.0347,0.0152
1327678702780589,42.4195,153.4647,0.77073,0.0338,0.0156
1327678703281576,42.5913,153.6353,0.78967,0.0325,0.0148
1327678703783586,42.7632,153.8100,0.79131,0.0329,0.0150
1327678704284584,42.9378,153.9811,0.78721,0.0321,0.0157
1327678704785571,43.1085,154.1547,0.79420,0.0326,0.0163
1327678705287585,43.2772,154.3315,0.79769,0.0330,0.0163
1327678705788571,43.4465,154.5056,0.78205,0.0336,0.0164
1327678706289562,43.6192,154.6770,0.76597,0.0343,0.0173
1327678706791571,43.7939,154.8490,0.76840,0.0342,0.0171
1327678707292564,43.9685,155.0213,0.76765,0.0353,0.0177
1327678707793554,44.1457,155.1916,0.76818,0.0357,0.0178
1327678708295560,44.3179,155.3644,0.77177,0.0345,0.0177
1327678708796554,44.4863,155.5373,0.77554,0.0352,0.0173
1327678709297548,44.6572,155.7095,0.77658,0.0346,0.0171
1327678709799555,44.8286,155.8820,0.77876,0.0358,0.0168
1327678710300546,45.0018,156.0544,0.77832,0.0328,0.0172
1327678710802554,45.1738,156.2282,0.77856,0.0327,0.0168
1327678711303547,45.3418,156.4013,0.78106,0.0352,0.0170
1327678711804542,45.5115,156.5760,0.78705,0.0341,0.0157
1327678712306551,45.6818,156.7498,0.78416,0.0348,0.0157
1327678712807538,45.8591,156.9183,0.71642,0.0363,0.0155
1327678713308534,46.0437,157.0822,0.71462,0.0366,0.0167
1327678713810545,46.2256,157.2464,0.72029,0.0375,0.0173
1327678714311532,46.4034,157.4089,0.72344,0.0372,0.0171
1327678714812524,46.5812,157.5726,0.72373,0.0362,0.0164
1327678715314533,46.7594,157.7362,0.72216,0.0357,0.0168
1327678715815525,46.9372,157.9001,0.72533,0.0371,0.0158
1327678716316522,47.1128,158.0669,0.74606,0.0356,0.0169
1327678716818526,47.2886,158.2348,0.74764,0.0357,0.0173
1327678717319519,47.4582,158.4079,0.79450,0.0351,0.0174
1327678717820511,47.6227,158.5831,0.83070,0.0351,0.0184
1327678718322520,47.7799,158.7704,0.87058,0.0355,0.0171
1327678718823514,47.9324,158.9613,0.87076,0.0344,0.0164
1327678719324506,48.0830,159.1522,0.91482,0.0343,0.0160
1327678719826510,48.2289,159.3472,0.91469,0.0337,0.0164
1327678720327505,48.3718,159.5427,0.91363,0.0326,0.0163
1327678720828500,48.5190,159.7394,0.91574,0.0318,0.0153
1327678721330507,48.6655,159.9351,0.91442,0.0308,0.0167
1327678721831497,48.8136,160.1268,0.91119,0.0314,0.0167
1327678722332495,48.9601,160.3212,0.90775,0.0306,0.0167
1327678722834500,49.1110,160.5151,0.90889,0.0305,0.0164
1327678723335493,49.2613,160.7092,0.91405,0.0322,0.0167
1327678723836485,49.4071,160.9020,0.91892,0.0318,0.0172
1327678724338491,49.5556,161.0981,0.92199,0.0339,0.0165
1327678724839486,49.7005,161.2947,0.92260,0.0352,0.0172
1327678725340477,49.8484,161.4928,0.92364,0.0350,0.0172
1327678725842487,49.9956,161.6882,0.91859,0.0349,0.0169
1327678726343481,50.1429,161.8816,0.91722,0.0355,0.0180
1327678726819469,50.2844,162.0638,0.91867,0.0374,0.0174
1327678727321479,50.4311,162.2615,0.91848,0.0381,0.0181
1327678727822468,50.5782,162.4566,0.91886,0.0379,0.0181
1327678728323465,50.7293,162.6507,0.88780,0.0401,0.0171
1327678728825478,50.8722,162.8213,0.81350,0.0404,0.0167
1327678729376463,51.0286,162.9613,0.57076,0.0408,0.0172
1327678729877477,51.2248,163.0775,0.39363,0.0416,0.0184
1327678730329463,51.4334,163.1546,0.16595,0.0442,0.0197
1327678730730469,51.6247,163.1829,-0.07016,0.0476,0.0204
1327678731331451,51.9175,163.1561,-0.28518,0.0463,0.0205
1327678731782445,52.1246,163.0941,-0.47118,0.0464,0.0199
1327678732284454,52.3446,163.0042,-0.47432,0.0486,0.0199
1327678732785444,52.5693,162.9125,-0.46324,0.0487,0.0191
1327678733286427,52.7937,162.8210,-0.49606,0.0489,0.0190
1327678733788447,53.0154,162.7170,-0.62302,0.0461,0.0197
1327678734289438,53.2266,162.5919,-0.66485,0.0492,0.0202
1327678734790427,53.4364,162.4617,-0.66098,0.0509,0.0215
1327678735292435,53.6498,162.3346,-0.65527,0.0502,0.0230
1327678735793431,53.8621,162.2088,-0.66598,0.0498,0.0236
1327678736294427,54.0673,162.0736,-0.71068,0.0495,0.0251
1327678736796429,54.2695,161.9378,-0.72075,0.0496,0.0235
1327678737297426,54.4690,161.8012,-0.72099,0.0496,0.0246
1327678737798421,54.6744,161.6593,-0.71316,0.0519,0.0233
1327678738300430,54.8787,161.5208,-0.71314,0.0535,0.0236
1327678738801419,55.0805,161.3839,-0.71416,0.0532,0.0221
1327678739302414,55.2718,161.2351,-0.71507,0.0500,0.0217
1327678739804423,55.4550,161.0786,-0.71230,0.0475,0.0202
1327678740305411,55.6419,160.9211,-0.70955,0.0439,0.0183
1327678740806405,55.8285,160.7627,-0.70935,0.0447,0.0186
1327678741307397,56.0152,160.6058,-0.70361,0.0449,0.0172
1327678741809406,56.2038,160.4484,-0.70103,0.0459,0.0175
1327678742310400,56.3931,160.2904,-0.70229,0.0448,0.0175
1327678742811387,56.5790,160.1347,-0.69762,0.0462,0.0184
1327678743313400,56.7632,159.9790,-0.68762,0.0465,0.0181
1327678743814391,56.9471,159.8238,-0.72712,0.0477,0.0185
1327678744315382,57.1242,159.6647,-0.75284,0.0480,0.0195
1327678744817391,57.2986,159.5027,-0.75429,0.0473,0.0197
1327678745318388,57.4731,159.3429,-0.75454,0.0475,0.0186
1327678745819379,57.6494,159.1763,-0.75102,0.0478,0.0178
1327678746321383,57.8287,159.0125,-0.74238,0.0478,0.0170
1327678746822380,58.0031,158.8498,-0.74360,0.0440,0.0176
1327678747323376,58.1588,158.7070,-0.74553,0.0440,0.0181
1327678760307321,58.0706,158.5222,-0.79774,0.4379,0.4680
1327678761059321,57.8785,158.5933,-0.91215,0.2938,0.3416
1327678761661322,57.8542,158.6062,-1.12961,0.2267,0.2226
1327678761961300,57.8600,158.6057,-1.33309,0.1730,0.1480
1327678762262308,57.8652,158.6028,-1.55306,0.1434,0.0961
1327678762563308,57.8655,158.6031,-1.78086,3.9619,0.3149
1327678762864314,57.8567,158.6079,-2.00652,1.2337,0.1252
1327678763164299,57.8595,158.6101,-2.23384,0.0804,0.0372
1327678763465301,57.8574,158.6103,-2.44634,0.0705,0.0309
1327678764167300,57.7491,158.5263,-2.57204,0.0594,0.0255
1327678765120307,57.5381,158.4846,-2.61774,0.1461,0.1087
1327678765771290,57.3115,158.4064,-2.53576,0.1110,0.0831
1327678766373292,57.1380,158.2763,-2.47727,0.0943,0.0727
1327678766974279,56.9593,158.1256,-2.46737,0.0846,0.0635
1327678767476287,56.8005,157.9775,-2.30760,0.0719,0.0595
1327678767977282,56.6455,157.7983,-2.29005,0.0620,0.0527
1327678768478273,56.4824,157.6189,-2.29593,0.0612,0.0511
1327678768980287,56.3327,157.4408,-2.29029,0.0583,0.0459
1327678769481278,56.1815,157.2608,-2.28347,0.0575,0.0389
1327678769982269,56.0366,157.0829,-2.28239,0.0576,0.0360
1327678770484279,55.8952,156.9048,-2.24819,0.0553,0.0308
1327678771085265,55.7641,156.7305,-2.23509,0.0538,0.0305
1327678771687269,55.6219,156.5441,-2.23124,0.0551,0.0289
1327678791814167,55.4943,156.3743,-2.23508,0.0549,0.0270
1327678792465155,55.3677,156.2002,-2.23440,0.0534,0.0244
1327678792967160,55.2362,156.0265,-2.23249,0.0537,0.0224
1327678793468158,55.0997,155.8472,-2.23089,0.0515,0.0217
1327678793969149,54.9646,155.6729,-2.23296,0.0533,0.0219
1327678794470140,54.8337,155.4959,-2.23126,0.0531,0.0213
1327678794972149,54.7023,155.3178,-2.23139,0.0540,0.0215
1327678795473144,54.5458,155.1322,-2.23810,0.0598,0.0228
1327678795974139,54.3885,154.9441,-2.24399,0.0595,0.0203
1327678796475131,54.2324,154.7526,-2.24536,0.0585,0.0192
1327678796977142,54.0777,154.5591,-2.24717,0.0581,0.0171
1327678797478136,53.9496,154.3412,-2.24270,0.0591,0.0213
1327678797979129,53.8251,154.1357,-2.24194,0.0550,0.0203
1327678798531132,53.7082,153.9526,-2.23519,0.0555,0.0191
1327678799132125,53.5813,153.7679,-2.23283,0.0590,0.0199
1327678799734127,53.4538,153.5835,-2.23043,0.0599,0.0193
1327678800586121,53.3806,153.4729,-2.11626,0.0596,0.0213
1327678800987123,53.3674,153.4553,-1.85964,0.0557,0.0210
1327678801388115,53.3625,153.4351,-1.59912,0.0536,0.0195
1327678801689116,53.3635,153.3811,-1.39573,0.0505,0.0195
1327678802140112,53.4069,153.2459,-1.16075,0.0500,0.0169
1327678802641106,53.5335,153.0598,-1.00601,0.0522,0.0172
1327678803143114,53.6806,152.8686,-1.00111,0.0550,0.0183
1327678803644105,53.8306,152.6819,-0.99633,0.0559,0.0203
1327678804145103,53.9792,152.4962,-0.99405,0.0574,0.0219
1327678804646094,54.1373,152.3066,-0.98798,0.0613,0.0233
1327678805148105,54.2970,152.1221,-0.95235,0.0629,0.0203
1327678805649096,54.4507,151.9372,-0.94770,3.3415,0.3102
1327678806150094,54.6128,151.7524,-0.94237,8.9235,0.9201
1327678806651086,54.7788,151.5660,-0.90029,10.0152,2.2315
1327678807153094,28.4214,128.8379,1.08443,7.5993,2.0787
1327678807654087,28.5343,129.0542,1.08608,6.3259,1.6302
1327678808155079,28.6527,129.2673,1.08556,5.1852,1.3856
1327678808657086,28.7760,129.4792,1.09168,4.7775,1.2628
1327678809158079,28.8831,129.6991,1.12315,4.3958,1.1579
1327678809659075,28.9887,129.9203,1.12522,4.1881,1.1867
1327678810160071,37.2038,145.7777,-0.98094,4.4242,1.2942
1327678810662078,37.3413,145.5759,-0.98126,4.4598,1.3179
1327678811163069,37.4798,145.3764,-0.94309,4.5133,1.2949
1327678811664063,37.6264,145.1800,-0.92451,4.6332,1.2964
1327678812165057,37.7733,144.9859,-0.92541,4.5934,1.2488
1327678812667069,37.9185,144.7891,-0.92586,4.4339,1.1400
1327678813168058,38.0651,144.5948,-0.92540,4.3981,1.0904
1327678813669051,38.2087,144.3983,-0.92625,4.6171,1.1660
1327678814171067,38.3568,144.2036,-0.92718,4.8831,1.2917
1327678814672056,28.2036,134.3492,1.50478,4.9729,1.3012
1327678815173049,28.2200,134.5942,1.50579,4.4150,0.9870
1327678815674040,28.2383,134.8366,1.51413,3.0194,0.5786
1327678816176051,28.2422,135.0818,1.59726,1.9049,0.3403
1327678816677043,28.2375,135.3253,1.63705,1.0257,0.1748
1327678817178040,28.2153,135.5693,1.67884,0.5932,0.0958
1327678817679028,28.1965,135.8090,1.71975,0.3276,0.0449
1327678818181042,28.1669,136.0468,1.76586,0.3277,0.0463
1327678818682036,28.1266,136.2818,1.84345,0.2709,0.0429
1327678819183032,28.0481,136.5070,1.98492,0.3116,0.0445
1327678819735033,27.9238,136.7415,2.14024,0.3225,0.0445
1327678820336025,27.7440,136.9739,2.28102,0.2813,0.0421
1327678820938025,27.5486,137.2073,2.29930,0.2747,0.0410
1327678821539017,27.3450,137.4110,2.44601,0.3431,0.0460
1327678822040009,27.1517,137.5687,2.45552,0.5740,0.0629
1327678822542017,26.9444,137.7067,2.61799,1.1110,0.1046
1327678823043012,29.1227,135.9467,2.44825,0.5201,0.0482
1327678823544006,28.9235,136.0856,2.62058,0.1541,0.0194
1327678824046013,28.7121,136.2040,2.63958,0.0110,0.0138
1327678824547011,28.4934,136.3051,2.78219,0.0128,0.0159
1327678825048002,28.2650,136.3891,2.79051,0.0141,0.0157
1327678825548996,28.0362,136.4637,2.89117,0.0153,0.0163
1327678826051003,27.8066,136.5146,2.92711,0.0156,0.0171
1327678826551994,27.5697,136.5606,2.93301,0.0169,0.0186
1327678827052992,27.3379,136.5872,2.94201,0.0194,0.0214
1327678827553981,27.0879,136.5775,2.95399,0.0331,0.0298
1327678828055990,26.8342,136.5547,2.93935,0.0450,0.0367
1327678828556988,26.5837,136.5513,2.90648,0.0468,0.0386
1327678829057983,26.3327,136.5663,2.91328,0.0487,0.0362
1327678829559989,26.1007,136.5865,2.92388,0.0476,0.0370
1327678830210979,25.8875,136.5916,2.93599,0.0490,0.0375
1327678835323955,25.8772,136.5693,2.73928,0.0495,0.0402
1327678836626944,26.0130,136.5996,2.96244,0.1536,0.1139
1327678837529950,26.2034,136.6194,2.97152,0.1498,0.1187
1327678838331950,26.4172,136.6525,2.96860,0.1561,0.1206
1327678842742919,26.7536,136.5966,2.88096,0.1471,0.1245
1327678843444921,26.9647,136.5255,2.86523,0.1417,0.1290
1327678844145908,27.1752,136.4503,2.83909,0.1314,0.1367
1327678844847906,27.3941,136.3648,2.80194,0.1289,0.1503
1327678845499908,27.5626,136.1275,2.71935,0.1252,0.1441
1327678846100897,27.7461,135.9388,2.66111,0.1199,0.0983
1327678846752903,27.9326,135.8115,2.63880,0.1165,0.0648
1327678847404901,28.1067,135.7189,2.63525,0.1120,0.0509
1327678848456886,28.2568,135.6700,2.74032,0.1089,0.0489
1327678848857886,28.2514,135.6763,2.96942,0.1033,0.0471
1327678849208884,28.2513,135.6740,-3.07772,0.0986,0.0436
1327678849509882,28.2583,135.6796,-2.86910,0.0980,0.0420
1327678849860889,28.1801,135.6593,-2.64727,0.0904,0.0416
1327678850211889,28.2270,135.6759,-2.39894,0.0837,0.0397
1327678850511874,28.1777,135.6830,-2.19739,0.0780,0.0380
1327678850812876,28.1764,135.6794,-1.99636,0.0743,0.0384
1327678851113880,28.1226,135.6772,-1.78925,0.0733,0.0370
1327678851414883,28.1131,135.6889,-1.57267,0.0673,0.0374
1327678851715889,28.1095,135.7048,-1.35480,0.0615,0.0365
1327678852065870,28.1056,135.7143,-1.11540,0.0612,0.0359
1327678853469871,28.2532,135.5691,-0.96578,0.0671,0.0477
1327678854070859,28.4093,135.3665,-1.04639,0.0684,0.0465
1327678854522867,28.5019,135.1893,-1.28188,0.0700,0.0464
1327678855123860,28.5936,134.9271,-1.32846,0.0769,0.0468
1327678855725866,28.6744,134.6565,-1.40546,0.0859,0.0463
1327678856326855,28.7513,134.3797,-1.41513,0.0960,0.0460
1327678856827848,28.7874,134.1480,-1.60644,0.1035,0.0461
1327678857329862,28.7979,133.9090,-1.68851,0.1111,0.0465
1327678857830850,28.7899,133.6754,-1.79195,0.1189,0.0470
1327678858331847,28.7619,133.4395,-1.90425,0.1225,0.0477
1327678858833857,28.7356,133.2046,-1.93409,0.1169,0.0462
1327678859334845,28.6732,132.9707,-1.97283,0.1120,0.0420
1327678859835838,28.6058,132.7391,-1.97181,0.1127,0.0410
1327678860336834,28.5589,132.5078,-2.00620,0.1073,0.0399
1327678860838838,28.4922,132.2655,-2.00291,0.1057,0.0430
1327678861289835,28.4804,132.0371,-1.98798,0.0986,0.0490
1327678861790828,28.4582,131.7817,-2.01160,0.0965,0.0602
1327678862241826,28.4399,131.5552,-2.05431,0.0977,0.0663
1327678862692820,28.3875,131.2740,-2.08473,0.0996,0.0690
1327678863194829,28.3202,131.0365,-2.08043,0.1039,0.0686
1327678863695824,28.2475,130.8019,-2.07813,0.1100,0.0681
1327678864196814,28.1690,130.5576,-2.07664,0.1143,0.0652
1327678864647817,28.0966,130.3370,-2.07052,0.1138,0.0640
1327678865098807,28.0259,130.1271,-2.09030,0.1189,0.0636
1327678865600820,27.9335,129.8915,-2.16981,0.1230,0.0632
1327678866101812,27.8216,129.6530,-2.17289,0.1319,0.0656
1327678866602807,27.7263,129.4260,-2.17524,0.1375,0.0648
1327678867104810,27.6037,129.2079,-2.27649,0.1461,0.0671
1327678867605805,27.4790,128.9984,-2.27323,0.1434,0.0652
1327678868106799,27.3288,128.7927,-2.27477,0.1528,0.0657
1327678868607787,27.2885,128.6595,-2.23640,0.1501,0.0625
1327678869109800,27.0577,128.3841,-2.26489,0.1534,0.0612
1327678869610795,26.9279,128.1854,-2.26208,0.1605,0.0621
1327678870111791,26.8998,128.0154,-2.22185,0.1653,0.0623
1327678870612782,26.7828,127.8187,-2.21426,0.1838,0.0660
1327678871114784,26.6614,127.6228,-2.20171,0.2206,0.0741
1327678871515780,26.5764,127.4685,-2.00587,0.2418,0.0780
1327678871816777,26.5243,127.3712,-1.78304,1.7107,0.1592
1327678872267783,26.4913,127.1849,-1.63218,4.7964,0.4136
1327678872768773,26.4988,126.9290,-1.73964,8.8640,0.9936
1327678873269764,29.1531,133.8052,2.90116,8.4052,1.2804
1327678873770759,28.9793,133.8194,2.84230,7.7819,1.2309
1327678874272771,28.7864,133.8481,2.84610,7.2560,1.1663
1327678874773759,26.9135,132.2211,-1.00103,7.0168,1.0643
1327678875425766,28.3984,133.9105,2.85396,6.4477,1.0594
1327678878031746,28.2655,133.9188,2.73860,6.0468,1.0604
1327678878332745,28.2683,133.9198,2.50658,5.7738,1.0823
1327678878633747,28.2753,133.9186,2.27695,5.3473,1.1331
1327678878934743,28.2779,133.9171,2.04816,4.6475,1.1763
1327678879234735,27.1361,131.9498,-2.04094,3.9490,1.1731
1327678879535741,27.1332,131.9503,-2.27257,3.1797,1.1610
1327678879836741,27.1303,131.9529,-2.50456,2.2914,1.0415
1327678880137739,27.1276,131.9540,-2.73168,2.0282,0.8606
1327678881039732,27.0138,131.9273,-2.87888,1.2213,0.7155
1327678881540723,26.7780,131.8570,-2.87651,0.9474,0.5810
1327678882041717,26.5479,131.7684,-2.80965,0.6949,0.4679
1327678882543725,26.3238,131.6669,-2.80573,0.6046,0.3277
1327678883044717,26.1033,131.5706,-2.76162,0.3230,0.2966
1327678883545712,25.8787,131.4796,-2.75854,0.2389,0.2448
1327678884046715,25.6571,131.3860,-2.68519,0.2133,0.2059
1327678884548716,25.4551,131.2839,-2.67923,0.1503,0.1380
1327678885099716,25.2542,131.1806,-2.67672,0.1317,0.1160
1327678885701713,25.0657,131.0872,-2.67853,0.0976,0.0849
1327678890538687,25.0698,131.3160,-2.66542,0.3403,0.5724
1327678895751658,25.0705,131.3834,-2.74784,0.4831,0.7811
1327678896303665,24.9846,131.2811,-2.78320,0.4575,0.7507
1327678896804660,24.8436,131.2737,-2.84456,0.4744,0.7665
1327678897305649,24.7047,131.3145,-2.87415,0.5402,0.8034
1327678897806644,24.6056,131.4154,-2.93316,0.6417,0.9169
1327678898308657,24.5992,131.4603,-2.93553,0.7368,1.0629
1327678898809645,24.6241,131.4383,-2.68743,0.7753,1.2348
1327678899310634,24.2887,132.5006,2.47770,0.7675,1.3445
1327678899812644,24.3260,132.6873,2.35440,0.7565,1.4101
1327678900313637,24.3519,132.9285,2.21628,0.7381,1.4534
1327678900814632,24.4706,132.9377,2.11828,0.6544,1.4793
1327678901316639,24.5150,132.9958,2.12636,0.5761,1.4014
1327678918509540,24.4937,133.0947,1.98670,0.5680,1.2303
1327678919161539,25.7643,133.7901,1.23105,0.6594,1.0588
1327678919662535,25.8444,134.0154,1.23143,0.7675,0.7395
1327678920163525,25.9234,134.2445,1.27436,0.8711,0.5647
1327678920665537,25.9793,134.4790,1.34593,0.9355,0.4402
1327678921166532,26.0281,134.7175,1.34618,0.8585,0.3725
1327678921667523,26.0709,134.9553,1.45438,0.3379,0.1361
